/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,project
18115,8,18115
18115,2,18116
18501,5,18501
18503,5,18503
18119,8,18119
18119,3,18120
19061,8,19061
19061,2,19062
19361,5,19361
19065,8,19065
19065,2,19066
19362,5,19362
19067,8,19067
19067,2,19068
19363,5,19363
18117,8,18117
18117,2,18118
19071,8,19071
19081,8,19081
19371,5,19371
19781,8,19781
19781,5,19688
19053,8,19053
